"oid";"tid";"otid";"bid";"sku";"x";"y";"z";"l";"d";"h";"w"
18092;19;"18092X19";"K0001";"5688872";6160;280;1620;280;1140;480;0
18092;17;"18092X17";"K0001";"5688873";3400;260;0;1140;260;960;0
18092;17;"18092X17";"K0001";"5688874";3400;0;0;1140;260;960;0
18092;17;"18092X17";"K0001";"5688875";3140;2180;0;1140;260;960;0
18092;17;"18092X17";"K0001";"5688876";3060;2180;1040;960;260;1140;0
18092;17;"18092X17";"K0001";"5688877";3140;1920;1040;960;260;1140;0
18092;19;"18092X19";"K0001";"5688878";5960;1700;0;280;480;1140;0
18092;17;"18092X17";"K0001";"5688879";2180;0;1660;960;1140;260;0
18092;17;"18092X17";"K0001";"5688880";2180;0;1400;960;1140;260;0
18092;19;"18092X19";"K0001";"5688881";5680;280;1900;480;1140;280;0
18092;17;"18092X17";"K0001";"5688882";3140;960;1140;260;960;1140;0
18092;17;"18092X17";"K0001";"5688883";3140;0;1140;260;960;1140;0
18092;17;"18092X17";"K0001";"5688884";2180;0;1140;960;1140;260;0
18092;17;"18092X17";"K0001";"5688885";2440;1040;780;960;1140;260;0
18092;17;"18092X17";"K0001";"5688886";2440;1040;520;960;1140;260;0
18092;19;"18092X19";"K0001";"5688887";5680;280;1620;480;1140;280;0
18092;19;"18092X19";"K0001";"5688888";5680;560;1140;280;1140;480;0
18092;17;"18092X17";"K0001";"5688889";2440;1040;260;960;1140;260;0
18092;17;"18092X17";"K0001";"5688890";2440;1040;0;960;1140;260;0
18092;19;"18092X19";"K0001";"5688891";5680;1700;0;280;480;1140;0
18092;17;"18092X17";"K0001";"5688892";2440;780;0;960;260;1140;0
18092;19;"18092X19";"K0001";"5688893";6160;280;480;280;480;1140;0
18092;17;"18092X17";"K0001";"5688894";2440;520;0;960;260;1140;0
18092;17;"18092X17";"K0001";"5688895";2440;260;0;960;260;1140;0
18092;17;"18092X17";"K0001";"5688896";2440;0;0;960;260;1140;0
18092;19;"18092X19";"K0001";"5688897";4540;2160;280;1140;480;280;0
18092;17;"18092X17";"K0001";"5688898";1920;0;1920;1140;960;260;0
18092;17;"18092X17";"K0001";"5688899";1480;1660;1040;960;260;1140;0
18092;19;"18092X19";"K0001";"5688900";4540;1680;280;1140;480;280;0
18092;17;"18092X17";"K0001";"5688901";1920;1400;1040;960;260;1140;0
18092;17;"18092X17";"K0001";"5688902";1920;1140;1140;960;260;1140;0
18092;17;"18092X17";"K0001";"5688903";960;2360;1140;960;260;1140;0
18092;19;"18092X19";"K0001";"5688904";5680;560;480;480;1140;280;0
18092;17;"18092X17";"K0001";"5688905";960;2100;1140;960;260;1140;0
18092;17;"18092X17";"K0001";"5688906";1920;2180;960;1140;260;960;0
18092;18;"18092X18";"K0001";"5688907";960;2440;0;1120;134;950;0
18092;13;"18092X13";"K0001";"5688908";5130;2280;950;1140;280;950;0
18092;17;"18092X17";"K0001";"5688909";1920;2180;0;1140;260;960;0
18092;13;"18092X13";"K0001";"5688910";5130;2280;0;1140;280;950;0
18092;5;"18092X5";"K0001";"5688911";9685;745;1490;1200;1140;745;0
18092;13;"18092X13";"K0001";"5688912";11070;2180;840;950;280;1140;0
18092;18;"18092X18";"K0001";"5688913";1400;0;2200;950;1120;134;0
18092;17;"18092X17";"K0001";"5688914";960;2180;0;960;260;1140;0
18092;5;"18092X5";"K0001";"5688915";9685;745;745;1200;1140;745;0
18092;5;"18092X5";"K0001";"5688916";9685;745;0;1200;1140;745;0
18092;2;"18092X2";"K0001";"5688917";1480;1120;0;360;1120;2240;0
18092;18;"18092X18";"K0001";"5688918";6720;0;2180;950;1120;134;0
18092;18;"18092X18";"K0001";"5688919";1220;0;1660;950;1120;134;0
18092;2;"18092X2";"K0001";"5688920";1480;0;0;360;1120;2240;0
18092;13;"18092X13";"K0001";"5688921";11070;1900;950;950;280;1140;0
18092;3;"18092X3";"K0001";"5688922";8340;1440;0;300;1140;1550;0
18092;18;"18092X18";"K0001";"5688923";6820;2100;0;1120;134;950;0
18092;2;"18092X2";"K0001";"5688924";360;0;1800;1120;2240;360;0
18092;2;"18092X2";"K0001";"5688925";360;0;1440;1120;2240;360;0
18092;2;"18092X2";"K0001";"5688926";360;0;1080;1120;2240;360;0
18092;3;"18092X3";"K0001";"5688927";8340;300;0;300;1140;1550;0
18092;13;"18092X13";"K0001";"5688928";11650;950;950;280;950;1140;0
18092;17;"18092X17";"K0001";"5688929";1480;780;780;960;1140;260;0
18092;17;"18092X17";"K0001";"5688930";1480;780;520;960;1140;260;0
18092;5;"18092X5";"K0001";"5688931";10885;0;1200;745;1200;1140;0
18092;5;"18092X5";"K0001";"5688932";10885;0;0;1140;745;1200;0
18092;13;"18092X13";"K0001";"5688933";11370;950;950;280;950;1140;0
18092;18;"18092X18";"K0001";"5688934";0;960;2180;950;1120;134;0
18092;18;"18092X18";"K0001";"5688935";11880;0;1400;134;1120;950;0
18092;17;"18092X17";"K0001";"5688936";3030;2440;1120;1120;134;950;0
18092;17;"18092X17";"K0001";"5688937";2080;2440;1120;950;134;1120;0
18092;2;"18092X2";"K0001";"5688938";360;0;720;1120;2240;360;0
18092;2;"18092X2";"K0001";"5688939";360;0;360;1120;2240;360;0
18092;17;"18092X17";"K0001";"5688940";1480;780;260;960;1140;260;0
18092;2;"18092X2";"K0001";"5688941";360;0;0;1120;2240;360;0
18092;2;"18092X2";"K0001";"5688942";0;2240;0;1120;360;2240;0
18092;17;"18092X17";"K0001";"5688943";3030;2440;0;950;134;1120;0
18092;5;"18092X5";"K0001";"5688944";9685;0;1140;1200;745;1140;0
18092;5;"18092X5";"K0001";"5688945";9685;0;0;1200;745;1140;0
18092;17;"18092X17";"K0001";"5688946";1480;780;0;960;1140;260;0
